Author Name,Comma,Period,Other,Birth Year,Writing type,Nationality,Sex
"Christie, Agatha",8724,11932,12156,1890,Fiction,England,Female
"Einstein, Albert",1845,1666,1550,1879,Non-Fiction,Germany,Male
"Huxley, Aldous",9577,9694,10797,1894,Fiction,England,Male
"Bierce, Ambrose",46715,34973,53489,1842,Fiction,United States,Male
"Potter, Beatrix",4557,5265,9479,1866,Fiction,England,Female
"Franklin, Benjamin",113803,53353,58623,1706,Non-Fiction,United States,Male
"Russell, Bertrand",33586,19731,15600,1872,Non-Fiction,Wales,Male
"Darwin, Charles",392401,295432,240681,1809,Non-Fiction,England,Male
"Dickens, Charles",681063,334246,636213,1812,Fiction,England,Male
"Herr, Charlotte B. (Charlotte Bronte)",1910,1168,1879,1816,Fiction,England,Female
"Defoe, Daniel",251542,58768,103966,1659,Fiction,England,Male
"Lawrence, D. H. (David Herbert)",118245,105973,139134,1885,Fiction,England,Male
"Poe, Edgar Allan",55769,26202,50445,1809,Fiction,United States,Male
"Burroughs, Edgar Rice",90502,79020,97868,1875,Fiction,United States,Male
"Brontë, Emily",9892,5142,14540,1818,Fiction,England,Female
"Shaw, Bernard",78197,104958,95451,1856,Play,Ireland,Male
"Washington, George",3660,2082,2217,1732,Non-Fiction,United States,Male
"James, Henry",325984,214808,425305,1843,Fiction,United States/England,Male
"Wells, H. G. (Herbert George)",294888,265037,299194,1866,Fiction,England,Male
"Melville, Herman",139389,55156,120817,1819,Fiction,United States,Male
"Asimov, Isaac",2981,3070,2515,1920,Fiction,United States,Male
"London, Jack",209198,183958,204327,1876,Fiction,United States,Male
"Joyce, James",24374,31388,13614,1882,Fiction,Ireland,Male
"Austen, Jane",65422,40465,59608,1775,Fiction,England,Female
"Mill, John Stuart",135669,53769,43161,1806,Non-Fiction,England,Male
"Swift, Jonathan",133745,64075,70767,1667,Fiction,Ireland,Male
"Carroll, Lewis",38901,29395,93229,1832,Fiction,England,Male
"Twain, Mark",301240,213174,373727,1835,Fiction,United States,Male
"Shelley, Mary Wollstonecraft",25725,12575,18364,1797,Fiction,England,Female
"Faraday, Michael",24341,16028,12422,1791,Non-Fiction,England,Male
"Wilde, Oscar",68414,57909,40679,1854,Play,Ireland,Male
"Wodehouse, P. G. (Pelham Grenville)",150234,177697,268144,1881,Fiction,England,Male
"Frost, Robert",1882,2085,4580,1874,Poet,United States,Male
"Stevenson, Robert Louis",396444,222700,333492,1850,Fiction,Scotland,Male
"Kipling, Rudyard",192562,157653,350329,1865,Fiction,England,Male
"Doyle, Arthur Conan",256201,187784,226533,1859,Fiction,England,Male
"Galton, Francis",21941,19451,25647,1822,Non-Fiction,England,Male
Saki,27119,17303,23741,1870,Fiction,England,Male
"Davy, Humphry, Sir",3729,1446,1526,1778,Non-Fiction,England,Male
"Newton, Isaac, Sir",23149,11555,9176,1643,Non-Fiction,England,Male
"Churchill, Winston",297912,245360,333763,1874,Non-Fiction,England,Male
"Hardy, Thomas",168258,117293,222224,1840,Fiction,England,Male
"Eliot, T. S. (Thomas Stearns)",1869,1602,1871,1888,Fiction,United States/England,Male
"Woolf, Virginia",30453,21600,34184,1882,Fiction,England,Female
"Maugham, W. Somerset (William Somerset)",79973,119758,98060,1874,Fiction,England,Male
